Country,Regulation Status,Policy Lever,Governance Type,Actor Involvement,Enforcement Level,Specific Laws,Sources,Last Updated,Confidence
South Africa,"South Africa is in the advanced planning phase of AI regulation with a focus on misinformation and sector-specific governance. An AI expert advisory council was established in April 2024 to guide policy development, and the government has signaled intent to regulate AI alongside digital content oversight.","Policy mechanisms center on data protection, computing infrastructure investment (military-focused AI hub), and content regulation frameworks. Sector-specific approaches are being developed rather than comprehensive AI legislation.","South Africa employs a case-by-case and sectoral governance model with emphasis on military, defense, and misinformation domains. Institutional coordination through the AI advisory council coordinates across government departments and aligns with international regulatory synchronization efforts.","Primary actors include the Minister of Communications and Digital Technologies, military institutions (Africa's first military-focused AI hub), and the AI expert advisory council. International engagement includes coordination with internet regulators on content oversight and regulatory harmonization.",Enforcement mechanisms remain nascent with oversight primarily through advisory bodies and planned regulatory frameworks rather than active penalty systems or compliance audits.,,,2026-03-21,medium
South Korea,"South Korea has an innovative AI bill in advanced legislative stages as of early 2026, with existing frameworks including the Intelligent Robots Law and privacy law amendments covering automated decision-making systems. The regulatory approach emphasizes innovation alongside safety, moving from voluntary guidelines toward more structured governance.",Policy mechanisms focus on federal R&D spending to support AI development and safe deployment of research models. Government uses targeted investment and R&D infrastructure as primary levers rather than restrictive regulation.,"Governance combines organizational and model-based approaches with emphasis on reliability, transparency, and safety standards. The system relies significantly on corporate self-regulation and industry collaboration rather than top-down government mandates.","Actors include national companies, government bodies, and regional coordination through ASEAN frameworks. The scope spans national AI development policy and emerging regional AI governance discussions.","Enforcement remains relatively light, relying primarily on industry self-regulation and compliance mechanisms rather than active government monitoring, penalties, or mandatory audits.","Intelligent Robots Law,Privacy Act amendments (automated decision-making systems),Innovative AI Bill (in final legislative stage as of 2026)",https://www.korea.kr|https://www.msit.go.kr|https://www.law.go.kr,2026-03-21,medium
Spain,Spain has transitioned from voluntary frameworks to active regulation following the EU AI Act's implementation in 2024-2025. Spain applies the EU AI Act directly as binding law and has established national implementing structures through the Spanish AI Office and sectoral regulators. The regulatory approach combines EU-wide rules with national coordination mechanisms.,"Spain employs mandatory compliance mechanisms through the EU AI Act, risk-based classification systems, and regulatory sandboxes for innovation. Additional policy levers include sectoral regulations for high-risk AI applications in finance, healthcare, and public administration, coordinated through national authorities.","Spain has established a multi-level governance structure with the Spanish AI Office as the central coordinating body and sector-specific regulators (AEPD for data protection, CNMC for competition, sectoral authorities) handling domain-specific AI oversight. This reflects an integrated EU-national governance model.","Key actors include the Spanish Ministry of Digital Transformation, sectoral regulators, the Data Protection Authority (AEPD), and industry stakeholders through regulatory sandboxes. Spain participates in EU-level coordination through the AI Board and contributes to international AI governance discussions.","Spain enforces EU AI Act requirements through multiple authorities with powers to impose penalties, conduct audits, and issue compliance orders; enforcement includes administrative fines up to 4% of global turnover for critical violations and active monitoring of high-risk AI systems.","EU AI Act (2024), Spanish Implementation Regulations (2024-2025), Data Protection regulations (GDPR, LOPDGDD)",https://www.lamoncloa.gob.es/|https://www.mineco.gob.es/|https://www.aepd.es/|https://digital.gob.es/,2026-03-21,medium
Sri Lanka,Sri Lanka has not enacted formal AI regulation but published an AI White Paper addressing challenges to AI deployment. The country is in early-stage policy development with a focus on entrepreneurship and digital transformation rather than restrictive regulation.,Policy mechanisms emphasize data-driven approaches and national entrepreneurship promotion through digital strategy initiatives. Focus remains on enabling innovation rather than prescriptive regulatory controls.,"Governance is primarily organizational, addressing safety and privacy concerns through institutional frameworks rather than legislative mandates. The approach centers on coordination between government bodies overseeing digital initiatives.","Involvement is limited to national-level actors within Sri Lanka's digital strategy framework, with no documented interregional cooperation with SAARC nations or international AI governance bodies.","No formal enforcement mechanisms for AI regulation exist, as Sri Lanka lacks binding legislative frameworks with penalty provisions or dedicated oversight bodies.",,,2026-03-21,medium
Sudan,"Sudan lacks direct national AI legislation as of March 2026. The country is engaged through African Union initiatives promoting human-rights-centered AI governance, but implementation remains at early stages without formal domestic legal frameworks.",Sudan has not implemented specific data and computing export controls for AI. Policy mechanisms remain largely through continental African Union frameworks rather than national legislation.,"Sudan's AI governance approach is emerging through case-based and organizational initiatives, with emphasis on private sector engagement and human-centered principles promoted via African Union coordination. Formal institutional structures remain underdeveloped.","Sudan participates indirectly through African Union-led initiatives, with engagement from G7 and UNDP technical support. Governance remains primarily continental and international rather than nationally led.",Enforcement mechanisms are minimal due to lack of domestic legislation; compliance relies on voluntary adherence to AU guidelines and international cooperation rather than binding national enforcement.,,,2026-03-21,low
Suriname,"Suriname has minimal domestic AI regulation, relying primarily on participation in regional frameworks rather than national legislation. The country has not enacted specific AI-focused laws or comprehensive national AI strategies as of March 2026.",Policy mechanisms are limited to data governance principles and participation in the Santiago Declaration framework. No specific legislative instruments or binding national policies targeting AI have been implemented.,Governance is primarily through regional association involvement (IAAC) rather than dedicated national institutions. There is no established national AI regulatory body or dedicated governance structure.,Suriname participates in the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean and is signatory to the Santiago Declaration (2023). Regional cooperation remains the primary engagement mechanism for AI governance.,"Enforcement mechanisms are absent due to lack of national legislation, with only non-binding international commitments through regional frameworks.",,,2026-03-21,low
Swaziland,Swaziland lacks domestic AI-specific legislation but is influenced by African Union human-rights-centered AI governance initiatives through regional frameworks and documentation. The country operates primarily through international partnerships rather than independent national AI policy.,"Data and computing export controls remain theoretical policy levers aligned with AU frameworks, with minimal domestic enforcement mechanisms in place. Implementation relies largely on international cooperation through UNDP and AU initiatives.","Governance is emerging through case-by-case and organizational approaches, with emphasis on private sector engagement and human-centered principles via AU guidelines rather than formal institutional structures. Institutional capacity for dedicated AI governance remains limited.","The African Union, UNDP, and G7 influence Swaziland's AI policy direction through regional initiatives and capacity-building programs, though Swaziland's direct participation and implementation capacity remain modest. International actors drive agenda-setting more than local government structures.","Enforcement mechanisms are minimal, with no dedicated AI regulatory body or penalty framework established domestically.",,,2026-03-21,low
Sweden,"Sweden has implemented the EU AI Act (2024) as binding regulation following its EU membership obligations. Additionally, Sweden maintains its national AI ethics framework and has established regulatory sandboxes for AI innovation testing. The country takes a balanced approach combining EU compliance with national guidelines for responsible AI development.","Sweden employs multiple policy mechanisms including EU AI Act transposition, regulatory sandboxes for innovation, ethics frameworks, and self-regulatory guidelines. The government also uses public procurement standards and research funding conditions to incentivize responsible AI practices.","Sweden operates under a multi-level governance structure combining EU regulatory oversight with national implementation through Swedish authorities including the Swedish Data Protection Authority (DATAINSPEKTIONEN) and the Swedish Board for Strategic Evaluation of Research (STRATEGISKA FORSKNINGSBEREDNINGEN). Coordination occurs between government agencies, research institutions, and industry stakeholders.","Key actors include the Swedish government, EU institutions (for AI Act enforcement), data protection authorities, academic institutions, and private sector participants in regulatory sandboxes. Scope extends across Sweden as EU member state and includes coordination with other EU nations on AI governance harmonization.",EU AI Act enforcement mechanisms are active through Swedish Data Protection Authority with authority to issue fines up to 6% of global revenue; national oversight bodies monitor compliance with ethics guidelines and sandbox conditions through audits and regular assessments.,"EU AI Act (2024), Swedish Data Protection Act (GDPR implementation), Swedish AI Ethics Framework, Swedish Public Procurement Act (with AI standards)",https://www.datainspektionen.se/|https://www.government.se/|https://www.vinnova.se/,2026-03-21,medium
Switzerland,Switzerland maintains a risk-based approach to AI regulation without comprehensive AI-specific legislation as of early 2026. The country continues to rely on existing privacy frameworks (FADP) and voluntary ethical guidelines while pursuing a neutral regulatory stance in international contexts.,"Switzerland employs data protection and privacy mechanisms as primary policy levers for AI governance, with emphasis on case-by-case enforcement through the Federal Data Protection Commissioner. Sectoral oversight through existing regulatory bodies addresses AI applications in specific domains.","Governance remains distributed across multiple actors including the Federal Data Protection and Information Commissioner (FDPIC), the Federal Council, and various sectoral regulators. Switzerland emphasizes organizational and case-based approaches with privacy protection as the central governance principle.","Multiple governmental bodies (Federal Council, FDPIC, DETEC) are actively involved in AI policy development, with Switzerland engaging significantly in international forums including the World Economic Forum and bilateral agreements. The country maintains diplomatic emphasis on AI neutrality in international negotiations.","Enforcement occurs primarily through existing data protection mechanisms and case-by-case interventions rather than dedicated AI enforcement structures, with the FDPIC issuing statements and negotiating commitments from technology companies.","Federal Act on Data Protection (FADP, revised 2023)",https://www.edoeb.admin.ch | https://www.sbfi.admin.ch | https://www.weforum.org,2026-03-21,medium
Syria,Syria has no formal AI-specific legislation or regulatory framework as of March 2026. The country participates in China's Global AI Governance Initiative but lacks domestic regulatory infrastructure or policy mechanisms for AI governance.,No specific policy levers or regulatory mechanisms have been implemented. Syria's participation in international frameworks remains limited to diplomatic engagement without corresponding domestic policy implementation.,"No formal AI governance structure exists. Governance remains ad-hoc without dedicated agencies, committees, or institutional frameworks for AI oversight.","Syria participates in China's Global AI Governance Initiative at the international level (joined March 2024). Domestic actor involvement remains minimal with limited engagement from government, academia, or private sector in AI policy development.",No enforcement mechanisms or oversight bodies exist for AI regulation in Syria.,,,2026-03-21,low
Taiwan,"Taiwan is advancing from draft to early implementation phase with the Artificial Intelligence Fundamental Act framework under development since June 2024, emphasizing human rights and social stability. Regulatory sandboxes are operational for fintech and autonomous vehicle sectors, indicating a phased approach to AI governance.","Taiwan leverages semiconductor control as a primary policy mechanism given its position as the world's largest chip producer, while implementing data governance, algorithm oversight, and computing infrastructure regulations. Export controls and domestic microchip policy serve as critical tools for AI development management.",Taiwan employs a case-by-case and organizational governance model with sectoral regulatory sandboxes coordinated at national level. The governance framework combines principle-based legislation (human rights and social stability focus) with sector-specific implementation mechanisms.,"Governance involves national-level institutions drafting the AI Fundamental Act alongside regional implementation through sandbox programs in fintech and autonomous vehicles. Multiple government agencies coordinate policy across computing, data, and algorithm domains.","Enforcement mechanisms remain limited as primary legislation is still in draft phase, though sandbox programs provide some regulatory oversight for participating businesses.",Artificial Intelligence Fundamental Act (2024 draft),,2026-03-21,low
Tajikistan,"Tajikistan has minimal formal AI regulation as of March 2026, with no comprehensive binding legislation enacted. The country has shown early interest in AI governance through draft proposals and participation in international discussions, but lacks finalized national AI laws or strategies.","Policy mechanisms remain underdeveloped, with limited focus on data protection and algorithm oversight. Any regulatory levers are primarily aspirational rather than operationalized.","Governance structures for AI remain nascent, with no dedicated AI regulatory bodies or formal institutional frameworks established. Decision-making authority is dispersed across general ICT and communications ministries without specialized AI oversight.","Engagement is primarily at the national level with minimal involvement from private sector, academia, or international bodies. Tajikistan has limited resources and capacity for comprehensive AI governance coordination.","No active enforcement mechanisms exist for AI regulation, as formal regulatory frameworks have not been implemented.",,,2026-03-21,low
Tanzania,"Tanzania remains in early-stage AI regulation development as of March 2026, with ongoing policy discussions through workshops and regional coordination but no comprehensive national AI legislation enacted. The country continues to work on risk-based frameworks addressing AI-generated content and related concerns through collaborative efforts.","Primary policy levers focus on data governance and computing infrastructure management. Mechanisms remain largely advisory and voluntary, embedded within broader digital transformation and regional African Union initiatives.","Governance structure is predominantly organizational and multi-stakeholder, involving coordination between national authorities, regional bodies (African Union), and international partners. No dedicated standalone AI regulatory agency has been formally established.","Multiple actors are engaged including Tanzanian national authorities, the African Union, G7 observers, and UNDP technical support. International participation reflects broader continental and global AI governance alignment efforts.",No formal enforcement mechanisms have been implemented; current efforts remain consultative and developmental with no penalty structures or active compliance monitoring systems in place.,,,2026-03-21,low
Thailand,"Thailand is developing a risk-based AI regulatory framework aligned with international standards, with a Draft Royal Decree on AI and AI regulation currently in progress. The approach mirrors the EU's risk-based model but remains in the draft stage without comprehensive enacted legislation.","Thailand prioritizes AI as a strategic tool for research and development, economic innovation, and sustainable development objectives. Policy mechanisms include national AI strategies and support for R&D initiatives integrated with SDG alignment.",Thailand employs a case-by-case governance approach supported by multiple organizational bodies with emphasis on sustainable development principles. Governance is distributed across national agencies with coordination mechanisms for different AI application sectors.,"Thailand actively engages with ASEAN regional coordination on AI governance while developing national regulations through government bodies. Multiple stakeholders including ministries, research institutions, and private sector actors participate in regulatory development.","Enforcement mechanisms remain nascent as primary regulations are still in draft form, with limited formal enforcement infrastructure currently operational beyond advisory and consultation processes.","Draft Royal Decree on AI (in progress), Draft AI Regulation (in progress)",Thailand Board of Investment|Thailand Ministry of Digital Economy and Society|ASEAN Secretariat AI governance initiatives,2026-03-21,medium
Togo,"Togo has minimal dedicated AI regulation as of March 2026, with no comprehensive national AI framework yet enacted. The country participates in African Union and regional AI governance initiatives but lacks independent binding AI legislation.",Policy mechanisms focus on data governance and digital infrastructure development through regional frameworks. Togo relies primarily on general ICT and data protection laws rather than AI-specific regulatory instruments.,"Governance is primarily informal and organizationally fragmented, operating through government agencies and regional coordination bodies. Togo lacks a dedicated central AI authority or coordinating body with clear mandate.","Togo engages with the African Union, UNDP, and international development partners on AI policy, but primary involvement remains at continental and multilateral levels rather than national implementation. Limited direct G7 engagement specific to Togo.",No formal AI-specific enforcement mechanisms exist; enforcement relies on general ICT and data protection authorities with limited capacity and focus on AI issues.,,,2026-03-21,low
Tonga,"Tonga has no dedicated AI regulation framework as of March 2026. The country lacks specific legislation or formal policies addressing artificial intelligence technologies, relying instead on general ICT and data protection frameworks if applicable.","No specific policy mechanisms for AI governance have been identified. Tonga's regulatory approach, if any, would fall under general telecommunications and digital governance structures rather than AI-specific levers.",Tonga has not established a formal governance structure specifically for AI regulation. Any oversight would theoretically occur through existing government ministries overseeing telecommunications and ICT sectors.,"No identified national AI policy actors, coordination bodies, or formal stakeholder engagement mechanisms specific to AI governance in Tonga. Limited capacity and resources characteristic of small island developing states constrain domestic AI policy development.",No enforcement mechanisms specific to AI regulation exist in Tonga.,,,2026-03-21,medium
Trinidad and Tobago,"Trinidad and Tobago has not enacted dedicated AI-specific legislation as of 2026. The country relies primarily on existing data protection frameworks and participation in regional AI governance initiatives through IACLA, without comprehensive domestic AI regulation.","Policy mechanisms focus on data protection and regional cooperation through the Santiago Declaration. Soft governance approaches and voluntary guidelines dominate, with limited sectoral regulation.",Governance is primarily organizational through regional association participation (IACLA) rather than through dedicated national AI governance bodies. Responsibility is dispersed across existing sectoral regulators without a centralized AI governance structure.,"Trinidad and Tobago participates in the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean and has signed the Santiago Declaration (2023). Regional coordination provides the primary governance framework, with limited national-level institutional actors.","Enforcement mechanisms are minimal, with no dedicated AI enforcement bodies or specific penalties for AI-related violations beyond general data protection provisions.",,,2026-03-21,low
Tunisia,Tunisia follows the African Union's AI regulatory framework initiatives without independent comprehensive national AI legislation as of March 2026. The country has adopted voluntary guidelines and participates in pan-African AI governance discussions but lacks binding domestic AI-specific laws.,"Tunisia relies primarily on African Union coordination mechanisms and sectoral regulations (data protection, telecom) rather than AI-specific policy instruments. Limited national AI strategy with emphasis on capacity building and alignment with African Union protocols.","Governance is decentralized across existing sectoral regulators (ANSI for digital security, telecom authority) without a dedicated AI oversight body. Tunisia coordinates through African Union structures and continental AI initiatives.","Primary actors include the African Union, Tunisian Ministry of Digital Affairs, and sectoral regulators, with limited private sector formal involvement in policymaking. Participation is primarily at the continental and ministerial levels.","Enforcement of AI governance is minimal, relying on existing sector regulators with unclear AI-specific mandates and limited dedicated resources.",,,2026-03-21,low
Turkey,"Turkey introduced its Artificial Intelligence Law in June 2024 and continues developing a comprehensive regulatory framework based on its National AI Strategy. The country is pursuing an innovative approach that balances AI development with risk-based safeguards, though full implementation remains in progress.",Turkey employs risk-assessment requirements for AI developers and classifies systems as high-risk to mandate additional precautions. Data-centered requirements and privacy law reforms have been proposed to align with AI governance needs.,"Governance is structured around core principles of security, transparency, fairness, accountability, and privacy with both national and organizational oversight mechanisms. Turkey is establishing institutional capacity for AI governance alongside international norm-setting.","Primary actors include national government bodies and relevant ministries, with increasing regional and international engagement through participation in AI norms development. Turkey is positioned between domestic regulation and broader international AI governance frameworks.",Enforcement mechanisms are still being established with the recent legislation; specific enforcement capacity and penalty structures remain limited as regulations are transitioning from draft to implementation phase.,Artificial Intelligence Law (2024),,2026-03-21,medium
Turkmenistan,"Turkmenistan has minimal formal AI regulation as of 2026, with a draft risk-based model law in development aimed at creating uniform rules for AI use in public relations. The regulatory framework remains nascent and largely focused on establishing foundational governance structures rather than comprehensive binding rules.",AI is primarily positioned as a tool for research and development to support economic growth and regional innovation. Policy mechanisms emphasize technological development incentives rather than restrictive controls.,Governance follows a centralized national governmental model with case-by-case organizational rules and technological development zones designated for innovative economic growth. The structure prioritizes innovation space creation alongside emerging rule-making frameworks.,"Involvement centers on national governmental actors with limited documented participation from private sector, international bodies, or civil society. Governance remains state-centric with regional economic development objectives.","Enforcement mechanisms are minimal or absent, with no documented active oversight bodies, penalties, or compliance audits for AI-related activities.",,,2026-03-21,low
Tuvalu,Tuvalu has not established dedicated AI regulation or a national AI policy framework as of March 2026. The country lacks specific legislation addressing artificial intelligence governance.,"No identified policy mechanisms, guidelines, or regulatory levers specific to AI have been implemented. Tuvalu relies on general ICT and data protection frameworks if applicable.",No dedicated AI governance structure exists. Any technology oversight would fall under general government ministries responsible for telecommunications or commerce.,Limited domestic capacity for AI regulation given Tuvalu's small size and population. International engagement through regional Pacific organizations may provide indirect influence on AI policy.,No enforcement mechanisms specific to AI regulation are in place.,,,2026-03-21,high
Uganda,"Uganda has released non-binding best practice guidelines (GSR-24) through the ITU summit in 2024 and has shown political commitment to AI regulation through parliamentary calls for legislation. However, no comprehensive binding AI law has been enacted as of March 2026, with the country remaining in the legislative development phase.","Uganda employs a data-driven policy approach with focus on AGI considerations, utilizing voluntary guidelines and calls for future legislation. The strategy emphasizes coordination between national bodies and international frameworks rather than mandatory enforcement mechanisms.",Uganda's governance structure involves coordination between case-by-case and organizational approaches spanning business and legal domains. Authority is distributed across national institutions with engagement from regional bodies including the African Union.,"Uganda coordinates AI policy through multi-level governance involving national government (Parliamentary members like Tayebwa), regional actors (African Union), and international partners (G7, UNDP, ITU). This represents a hybrid national-regional-international approach characteristic of African digital policy development.","Current enforcement mechanisms remain minimal, with guidelines being advisory rather than legally binding and no formal enforcement infrastructure established for AI regulation as of March 2026.",GSR-24 Best Practice Guidelines (2024),itu.int|au.int|undp.org,2026-03-21,medium
Ukraine,"Ukraine has not yet enacted AI-specific legislation but has developed a regulatory roadmap through the Ministry of Digital Transformation. Guidelines for AI use in media have been published, and the government is actively working toward a comprehensive regulatory framework aligned with potential EU integration.",Policy mechanisms include guidelines for media AI applications and emphasis on data-driven AI in defense/warfare contexts. The government is using roadmap-based approaches and white papers to shape future regulation rather than binding legislative instruments.,Governance is primarily centralized under the Ministry of Digital Transformation with case-by-case organizational oversight. Authority structures remain nascent as formal regulatory institutions for AI are still being established.,"Primary actors are governmental bodies at the national level, particularly the Ministry of Digital Transformation. Future governance may shift if Ukraine integrates with EU regulatory frameworks, introducing supranational oversight.","Enforcement mechanisms are minimal, limited to voluntary compliance with guidelines rather than binding legal penalties or active monitoring.",,,2026-03-21,medium
United Arab Emirates,"The UAE maintains a forward-looking, risk-based approach to AI governance without comprehensive sector-wide legislation. The government has released multiple AI ethics guidelines, sectoral frameworks for financial services and public sector AI use, and continues developing regulatory mechanisms through its AI Council and strategic initiatives.","The UAE employs data-centered and guidelines-based policy mechanisms, including financial institution oversight for AI safety and establishing research infrastructure. Policy levers focus on voluntary compliance frameworks, ethical guidelines, and sectoral-specific regulations rather than binding statutory requirements.","Governance is structured through the UAE AI Council, a dedicated Minister of State for Artificial Intelligence (established 2017), and sector-specific organizational oversight bodies. The government has enacted directives on safe AI use and maintains coordinated governance across federal and emirate-level entities.","The UAE Government is recognized as one of the world's most proactive governments on AI policy with international engagement. Actors include government ministries, financial regulatory bodies, public sector organizations, and participation in global AI governance discussions.","Enforcement remains relatively soft, relying primarily on compliance monitoring within specific sectors like financial services and public administration rather than penalties and systematic audits.",UAE Artificial Intelligence Law (governance framework on safe AI use)|UAE AI Ethics Framework,https://www.uae.gov.ae|https://www.mbrsg.ae,2026-03-21,medium
United Kingdom,"The UK has not yet enacted AI-specific legislation as of March 2026, though the AI (Regulation) Bill was reintroduced following the 2024 general election. The government continues to pursue a sector-specific regulatory approach guided by AI ethics principles rather than comprehensive standalone AI legislation.","The UK employs a multi-faceted approach combining sectoral regulation through existing frameworks, data protection (GDPR/UK-GDPR), and principles-based guidance. Policy mechanisms include attracting FDI and R&D through competitive positioning and establishing governance through the UK AI Safety Institute.","The UK operates through a decentralized, sector-specific regulatory model applying AI ethics principles across different industries rather than a single unified AI regulator. The UK AI Safety Institute serves as a research and advisory body to inform sectoral regulators.","The UK maintains significant international leadership through hosting the Global AI Safety Summit (2023), co-authoring the Bletchley Declaration, and operating the UK AI Safety Institute. Multiple domestic actors including sectoral regulators (ICO, FCA, CMA) and government departments are engaged in AI governance.","Enforcement remains limited to existing sectoral regulators applying current frameworks (data protection, competition law) with no dedicated AI enforcement mechanism or dedicated AI regulator with binding powers.","Data Protection Act 2018, Online Safety Bill 2023",https://www.gov.uk/government/organisations/uk-ai-safety-institute | https://www.gov.uk/guidance/ai-regulation-a-pro-innovation-approach,2026-03-21,medium
United States of America,"The US maintains a fragmented, risk-based approach to AI regulation with Executive Order 14110 (2023) providing federal guidance, while states like California, Virginia, and Maryland lead with direct AI legislation. The regulatory landscape continues evolving from voluntary frameworks toward more prescriptive requirements, particularly for high-risk applications like deepfakes and financial services.","Policy mechanisms focus on data protection, computing standards, and sector-specific regulation (deepfakes, robocalls, financial services, housing). The FCC, House Financial Services Committee, and state-level bodies employ transparency requirements, content verification mandates, and disclosure rules as primary levers.","Governance operates through a mixed federal-state model with multiple agencies (FCC, CFPB, SEC, FTC) and state legislatures acting independently, coordinated through executive orders and informal inter-agency frameworks. There is emerging focus on transparency in elections and democratic integrity as governance priorities.","Multiple federal agencies, state governments, and private sector actors drive regulation; the US emphasizes maintaining technological leadership while engaging G7 and EU partners on AI standards and competition frameworks. International coordination through joint statements on generative AI foundation models reflects both competitive and collaborative postures.","Enforcement remains inconsistent across sectors, with proposed rules (robocalls, financial services) not yet fully implemented; existing enforcement relies on FTC actions and state-level penalties, but systematic auditing and penalties for non-compliance are still developing.","Executive Order 14110 (2023), Executive Order 13859 (2019), Blueprint for an AI Bill of Rights (2022), Transparency in Elections Act (proposed 2024)",https://www.whitehouse.gov/briefing-room/presidential-actions/2023/10/30/executive-order-on-the-safe-secure-and-trustworthy-development-and-use-of-artificial-intelligence/|https://www.fcc.gov/|https://financialservices.house.gov/,2026-03-21,medium
Uruguay,"Uruguay has released AI regulatory recommendations through Agesic (July 2024) and is developing a national AI strategy with emphasis on public sector governance. The country is in the draft legislation phase with no comprehensive binding law yet enacted, though implementation frameworks are being developed.","Uruguay is establishing public databases and training datasets for AI systems, with focus on data governance and algorithm transparency. Internal data committees are being created within public entities to manage AI-related data issues.",Uruguay is strengthening Agesic's competencies on AI and data regulation with emphasis on public sector leadership. The governance model prioritizes creating internal data committees within government entities rather than a single independent regulatory agency.,Uruguay participates in regional frameworks including the Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean and has signed the 2023 Santiago Declaration on Ethical AI. National incentives align with regional commitments while maintaining domestic policy priorities.,"Enforcement mechanisms remain limited as Uruguay is still in the recommendations and strategy development phase, with no formal enforcement bodies or penalties established yet.",,,2026-03-21,medium
Uzbekistan,"Uzbekistan maintains a risk-based approach to AI regulation centered on experimental innovation regimes rather than comprehensive binding legislation. The 2021 resolution established a special framework for AI technologies within R&D contexts, with ongoing development of broader regulatory architecture aligned with international standards.",Policy mechanisms focus on AI as an R&D tool through innovation zones and experimental regimes rather than prescriptive sectoral regulation. Data governance and AI development are promoted via targeted incentives for research institutions and technology parks.,"Governance remains primarily case-by-case and organizationally fragmented, with national governmental actors leading through the Ministry of Innovative Development and various sectoral agencies. Coordination between agencies appears limited with no unified AI regulatory authority established.","Central governmental actors, particularly at the national level, drive AI policy through innovation initiatives and R&D frameworks. Private sector and international partners have minimal formal involvement in regulatory decision-making processes.","Enforcement mechanisms remain underdeveloped with limited monitoring, audit capacity, or penalties for non-compliance outside experimental innovation zones.",Resolution on measures to introduce special regime for use of AI technologies (2021),,2026-03-21,low
Vanuatu,Vanuatu has no dedicated AI regulation or national AI policy framework as of March 2026. The country has not enacted specific legislation governing artificial intelligence development or deployment.,No formal policy mechanisms or regulatory levers for AI governance are currently in place. Vanuatu relies on general ICT and data protection frameworks that predate modern AI concerns.,There is no established governance structure specifically for AI regulation. Oversight would fall under general government ministries responsible for communications or commerce if any AI-related issues arise.,"No documented involvement of government agencies, private sector bodies, or civil society organizations in coordinated AI governance efforts. International participation in AI policy discussions remains minimal.",No enforcement mechanisms exist for AI-specific regulations given the absence of dedicated legislation.,,,2026-03-21,medium
Vatican City,"Vatican City has not enacted specific AI regulation as of March 2026. The Holy See has engaged in ethical discourse on AI through papal statements and Vatican documents, but lacks formal binding legislation governing AI development or deployment within its territory.",Vatican City relies on ethical guidance and soft power through papal encyclicals and Vatican dicastery positions rather than statutory regulation. International advocacy and participation in UN and UNESCO discussions on AI ethics serve as primary policy mechanisms.,"Governance is handled through ecclesiastical structures, primarily via the Dicastery for Promoting Integral Human Development and papal pronouncements. No dedicated AI regulatory body or national AI strategy exists.","Primary actors include the Pope, Vatican dicasteries, and participation in international forums such as the UN and UNESCO. The scope is largely limited to theological and ethical advocacy rather than territorial governance enforcement.","No formal enforcement mechanisms exist for AI regulation within Vatican City, relying instead on moral authority and international influence.",,,2026-03-21,medium
Venezuela,"Venezuela has not enacted dedicated AI-specific legislation or national AI policies as of March 2026. The country lacks formal regulatory frameworks governing artificial intelligence development, deployment, or use.","No identified policy mechanisms or regulatory levers specific to AI have been implemented. Venezuela's participation in regional initiatives remains limited to voluntary, non-binding declarations.",Venezuela's AI governance exists primarily through regional association participation rather than domestic institutional structures. No dedicated national AI governance bodies or oversight agencies have been established.,Venezuela's primary AI policy involvement is through the regional Intergovernmental Council on Artificial Intelligence for Latin America and the Caribbean and the 2023 Santiago Declaration on ethical AI. Limited domestic stakeholder engagement in AI policy development is evident.,No enforcement mechanisms exist for AI regulation in Venezuela due to the absence of binding domestic legislation or regulatory frameworks.,,,2026-03-21,low
Vietnam,"Vietnam has a draft law on digital technology covering AI under public consultation as of early 2026, with concurrent draft standards on AI also undergoing public review. The country is in the active drafting phase rather than having enacted comprehensive binding legislation, reflecting a transitional regulatory approach.","Vietnam employs data and algorithm export controls alongside federal spending initiatives to support sector growth, combining restrictive and developmental policy mechanisms. These levers are part of a broader digital technology strategy rather than AI-specific regulatory instruments.","Vietnam's AI governance involves case-by-case oversight of social media platforms, coordination with policymakers, and engagement with tech companies, supplemented by organizational frameworks. The approach is multi-stakeholder but not yet formalized through dedicated AI regulatory bodies.","Key actors include the Vietnamese government, tech companies, and regional ASEAN coordination mechanisms, positioning AI regulation within broader Southeast Asian digital governance initiatives. Regional cooperation through ASEAN provides an additional governance layer beyond national boundaries.","Enforcement mechanisms remain limited due to the draft status of AI legislation, with soft oversight through case-based reviews and industry engagement rather than formal penalties or audits.","Draft Law on Digital Technology (2026, under consultation)",,2026-03-21,medium
Yemen,Yemen has no specific AI legislation or regulatory framework as of March 2026. Ongoing political fragmentation and conflict continue to severely limit governmental capacity to develop or implement technology policy.,"No policy mechanisms, guidelines, or regulatory levers for AI governance are currently in place. Government institutions lack resources for technology regulation.",No formal AI governance structure exists in Yemen. The fragmented political situation with competing authorities prevents establishment of centralized technology oversight.,No documented AI governance actors or institutional involvement at national level. International actors provide limited technical assistance given security constraints.,No enforcement mechanisms exist for AI regulation due to state capacity limitations and ongoing conflict.,,,2026-03-21,medium
